file_name,label,sigma
0000.png,50.441082,2.13
0001.png,78.248695,2.35
0002.png,74.70703,2.19
0003.png,50.302734,4.0
0004.png,89.731445,1.35
0005.png,51.96289,1.2
0006.png,76.92057,3.05
0007.png,71.05469,2.0
0008.png,18.455404,0.26
0009.png,43.772785,1.2
0010.png,21.9694,0.9
0011.png,53.982746,2.03
0012.png,63.141277,1.99
0013.png,47.314453,3.83
0014.png,83.86556,2.7
0015.png,66.79362,0.57
0016.png,76.975914,1.41
0017.png,39.09668,3.1
0018.png,51.852215,1.57
0019.png,38.875324,1.63
0020.png,82.86947,1.64
0021.png,54.75749,2.36
0022.png,67.81738,0.6
0023.png,74.18131,2.55
0024.png,30.602213,3.35
0025.png,38.128254,2.35
0026.png,32.9541,0.07
0027.png,37.93457,3.25
0028.png,32.56673,0.79
0029.png,28.139648,1.61
0030.png,7.553711,3.57
0031.png,7.830404,1.6
0032.png,75.50944,2.91
0033.png,38.986004,2.4
0034.png,57.192383,1.96
0035.png,71.27604,0.86
0036.png,48.338215,0.89
0037.png,56.279297,2.9
0038.png,86.38346,3.45
0039.png,51.852215,2.03
0040.png,13.696289,0.86
0041.png,66.6276,0.77
0042.png,47.86784,2.3
0043.png,30.463867,2.24
0044.png,43.772785,3.45
0045.png,85.19369,1.54
0046.png,82.399086,1.5
0047.png,21.831055,1.33
0048.png,58.82487,1.69
0049.png,72.46582,2.57
0050.png,45.737305,2.49
0051.png,80.7666,1.42
0052.png,34.53125,1.17
0053.png,28.859049,2.1
0054.png,65.63151,1.03
0055.png,24.819336,2.84
0056.png,67.845055,1.15
0057.png,41.171875,2.33
0058.png,50.41341,1.42
0059.png,60.540363,0.99
0060.png,61.315105,0.95
0061.png,62.91992,1.43
0062.png,42.389324,0.98
0063.png,60.485027,2.71
0064.png,53.567707,1.48
0065.png,67.15332,0.89
0066.png,39.290363,2.54
0067.png,88.65234,1.43
0068.png,52.32259,3.87
0069.png,33.00944,2.71
0070.png,42.55534,1.92
0071.png,46.67806,2.05
0072.png,85.08301,1.0
0073.png,42.77669,0.91
0074.png,65.99121,2.25
0075.png,30.795898,0.89
0076.png,42.666016,1.43
0077.png,39.650066,2.43
0078.png,42.91504,1.32
0079.png,41.36556,2.62
0080.png,41.4209,2.96
0081.png,35.776367,2.57
0082.png,28.416342,3.73
0083.png,85.80241,0.53
0084.png,67.92806,0.45
0085.png,67.65137,3.3
0086.png,60.180664,0.35
0087.png,48.310547,2.49
0088.png,40.25879,1.27
0089.png,54.480793,1.49
0090.png,70.55664,3.81
0091.png,56.91569,2.12
0092.png,55.08952,0.01
0093.png,60.429688,3.11
0094.png,67.48535,3.01
0095.png,74.40267,1.8
0096.png,20.724283,1.09
0097.png,60.208332,1.74
0098.png,31.321615,0.91
0099.png,49.223633,2.08
0100.png,54.480793,0.84
0101.png,55.39388,1.21
0102.png,79.99186,2.63
0103.png,39.401043,3.1
