file_name,avg_score,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8
sys02a43-utt06005a4.wav,2.625,2,2,2,3,3,3,3,3
sys02a43-utt18f7a69.wav,3.125,2,2,3,3,3,4,4,4
sys02a43-utt19b760a.wav,2.125,1,1,1,2,2,3,3,4
sys02a43-utt209c83f.wav,3.25,2,2,3,3,4,4,4,4
sys02a43-utt22adfe2.wav,2.375,1,1,2,2,3,3,3,4
sys02a43-utt2c22319.wav,3.0,2,3,3,3,3,3,3,4
sys02a43-utt53325d7.wav,3.75,3,3,3,4,4,4,4,5
sys02a43-utt5969de0.wav,3.5,2,3,3,3,4,4,4,5
sys02a43-utt5a8622c.wav,3.125,2,2,2,3,3,3,5,5
sys02a43-utt5d8f863.wav,2.875,1,2,2,3,3,3,4,5
sys02a43-utt6f1eea3.wav,2.0,1,1,2,2,2,2,2,4
sys02a43-utt7402f48.wav,2.375,1,1,2,2,3,3,3,4
sys02a43-utt82711f0.wav,2.875,2,2,2,3,3,3,4,4
sys02a43-utt86b77a5.wav,2.75,2,2,2,2,3,3,4,4
sys02a43-utt8a201b4.wav,2.75,1,2,2,3,3,3,3,5
sys02a43-utt93444c0.wav,2.5,1,2,2,2,3,3,3,4
sys02a43-utt9833565.wav,2.5,1,2,2,3,3,3,3,3
sys02a43-utt98bc94f.wav,2.25,1,1,1,2,2,3,3,5
sys02a43-uttb391bbf.wav,2.5,1,2,2,2,2,3,4,4
sys02a43-uttb40183e.wav,2.5,2,2,2,2,3,3,3,3
sys02a43-uttcc88d08.wav,2.5,1,2,2,2,3,3,3,4
sys02a43-uttd08a661.wav,3.25,2,2,3,3,3,4,4,5
sys02a43-uttd6d79dd.wav,2.25,1,1,2,2,3,3,3,3
sys02a43-utte24db1c.wav,2.875,2,2,2,3,3,3,4,4
sys02a43-utte382a22.wav,2.5,2,2,2,2,3,3,3,3
sys02a43-uttf69420c.wav,2.5,2,2,2,2,3,3,3,3
